"id_buffer","diversidade_shannon","perc_floresta","densidade_borda_m_ha"
1,1.36035992955763,31.9194061505833,69.1490553350891
2,0.664692825215281,81.6631130063966,25.4420279045709
3,0.689879014270991,79.2110874200426,26.517043168137
4,0.567759378067059,83.4213305174234,31.2340935995775
5,0.868955276029601,68.8489968321014,43.3018115812368
6,0.285562048811289,93.1965442764579,10.8894634690242
7,0.617184049326609,13.1634819532909,29.2589787731797
8,0.864041122906082,16.1702127659574,36.4727518998668
9,0.679498233931636,81.4149947201689,21.6509057906171
10,1.55182764413635,28.3755274261603,58.1475907264536
11,1.291511508266,28.8461538461539,48.8381578146364
12,1.22259052799656,31.6012725344645,52.752887575226
13,1.45530417362223,38.6853448275862,62.298370173793
14,1.34349511366631,30.4852320675105,66.3024357673566
15,1.36256588023095,31.7226890756303,44.133592315823
